date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:17	13876/13876	---M--	200	added ('OK')	image/jpeg	etag:%2258a59794-3634%22	http://amovie.gozha.net/images/movie/movie-time14.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-time14.jpg	(from http://amovie.gozha.net/index.html)
00:00:17	20403/20403	---M--	200	added ('OK')	image/jpeg	etag:%2258a59794-4fb3%22	http://amovie.gozha.net/images/movie/movie-time13.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-time13.jpg	(from http://amovie.gozha.net/index.html)
00:00:20	38780/38780	---M--	200	added ('OK')	image/jpeg	etag:%2258a5978e-977c%22	http://amovie.gozha.net/images/banners/sale.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/banners/sale.jpg	(from http://amovie.gozha.net/index.html)
00:00:21	26193/26193	---M--	200	added ('OK')	image/jpeg	etag:%2258a5978e-6651%22	http://amovie.gozha.net/images/banners/sport.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/banners/sport.jpg	(from http://amovie.gozha.net/index.html)
00:00:21	10789/10789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2258a5980b-2a25%22	http://amovie.gozha.net/images/apple-store.svg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/apple-store.svg	(from http://amovie.gozha.net/index.html)
00:00:22	14517/14517	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2258a5980b-38b5%22	http://amovie.gozha.net/images/google-play.svg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/google-play.svg	(from http://amovie.gozha.net/index.html)
00:00:22	6959/6959	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2258a5980b-1b2f%22	http://amovie.gozha.net/images/windows-store.svg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/windows-store.svg	(from http://amovie.gozha.net/index.html)
00:00:24	42923/42923	---M--	200	added ('OK')	image/jpeg	etag:%2258a5978e-a7ab%22	http://amovie.gozha.net/images/banners/boots.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/banners/boots.jpg	(from http://amovie.gozha.net/index.html)
00:00:26	21853/21853	---M--	200	added ('OK')	image/jpeg	etag:%2258a59790-555d%22	http://amovie.gozha.net/images/client-photo/post-thor.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/client-photo/post-thor.jpg	(from http://amovie.gozha.net/index.html)
00:00:26	23690/23690	---M--	200	added ('OK')	image/jpeg	etag:%2258a59790-5c8a%22	http://amovie.gozha.net/images/client-photo/post-annual.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/client-photo/post-annual.jpg	(from http://amovie.gozha.net/index.html)
